Variable Name;"Cohort/Measure in ""Most Recent"" Datafile";Merged file Drawn From (MergedXXXX_YY_PP.csv);;
MN_EARN_WNE_INDEP1_P6;Treasury AY2007-08, AY2008-09 pooled cohort measured in CY2014, CY2015, inflation adjusted to 2017 dollars;2014_15;;
MN_EARN_WNE_MALE0_P6;Treasury AY2007-08, AY2008-09 pooled cohort measured in CY2014, CY2015, inflation adjusted to 2017 dollars;2014_15;;
MN_EARN_WNE_MALE1_P6;Treasury AY2007-08, AY2008-09 pooled cohort measured in CY2014, CY2015, inflation adjusted to 2017 dollars;2014_15;;
COUNT_NWNE_P7;Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2019, CY2020;2019_20;;
COUNT_WNE_P7;Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2019, CY2020;2019_20;;
MN_EARN_WNE_P7;Treasury AY2002-03, AY2003-04 pooled cohort measured in CY2010, CY2011, inflation adjusted to 2014 dollars;2010_11;;
SD_EARN_WNE_P7;Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars;2019_20;;
GT_25K_P7;Treasury AY2002-03, AY2003-04 pooled cohort measured in CY2010, CY2011, inflation adjusted to 2014 dollars;2010_11;;
COUNT_NWNE_P8;Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2020, CY2021;2020_21;;
COUNT_WNE_P8;Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2020, CY2021;2020_21;;
MN_EARN_WNE_P8;Treasury AY2005-06, AY2006-07 pooled cohort measured in CY2014, CY2015, inflation adjusted to 2017 dollars;2014_15;;
MD_EARN_WNE_P8;Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars;2020_21;;
PCT10_EARN_WNE_P8;Treasury AY2002-03, AY2003-04 pooled cohort measured in CY2011, CY2012, inflation adjusted to 2014 dollars;2011_12;;
PCT25_EARN_WNE_P8;Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars;2020_21;;
PCT75_EARN_WNE_P8;Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars;2020_21;;
PCT90_EARN_WNE_P8;Treasury AY2002-03, AY2003-04 pooled cohort measured in CY2011, CY2012, inflation adjusted to 2014 dollars;2011_12;;
SD_EARN_WNE_P8;Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars;2020_21;;
GT_25K_P8;Treasury AY2004-05, AY2005-06 pooled cohort measured in CY2013, CY2014, inflation adjusted to 2016 dollars;2013_14;;
COUNT_NWNE_P9;Treasury AY2009-10, AY2010-11 pooled cohort measured in CY2019, CY2020;2019_20;;
COUNT_WNE_P9;Treasury AY2009-10, AY2010-11 pooled cohort measured in CY2019, CY2020;2019_20;;
MN_EARN_WNE_P9;Treasury AY2000-01, AY2001-02 pooled cohort measured in CY2010, CY2011, inflation adjusted to 2014 dollars;2010_11;;
SD_EARN_WNE_P9;Treasury AY2009-10, AY2010-11 pooled cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars;2019_20;;
GT_25K_P9;Treasury AY2000-01, AY2001-02 pooled cohort measured in CY2010, CY2011, inflation adjusted to 2014 dollars;2010_11;;
DEBT_MDN_SUPP;NSLDS FY2020, FY2021 pooled cohorts;2020_21;;
GRAD_DEBT_MDN_SUPP;NSLDS FY2020, FY2021 pooled cohorts;2020_21;;
GRAD_DEBT_MDN10YR_SUPP;NSLDS FY2020, FY2021 pooled cohorts;2020_21;;
RPY_3YR_RT_SUPP;NSLDS pooled FY2013, FY2014 cohorts measured in FY2016, FY2017;2016_17;;
LO_INC_RPY_3YR_RT_SUPP;NSLDS pooled FY2013, FY2014 cohorts measured in FY2016, FY2017;2016_17;;
MD_INC_RPY_3YR_RT_SUPP;NSLDS pooled FY2013, FY2014 cohorts measured in FY2016, FY2017;2016_17;;
HI_INC_RPY_3YR_RT_SUPP;NSLDS pooled FY2013, FY2014 cohorts measured in FY2016, FY2017;2016_17;;
COMPL_RPY_3YR_RT_SUPP;NSLDS pooled FY2013, FY2014 cohorts measured in FY2016, FY2017;2016_17;;
NONCOM_RPY_3YR_RT_SUPP;NSLDS pooled FY2013, FY2014 cohorts measured in FY2016, FY2017;2016_17;;
DEP_RPY_3YR_RT_SUPP;NSLDS pooled FY2013, FY2014 cohorts measured in FY2016, FY2017;2016_17;;
IND_RPY_3YR_RT_SUPP;NSLDS pooled FY2013, FY2014 cohorts measured in FY2016, FY2017;2016_17;;
PELL_RPY_3YR_RT_SUPP;NSLDS pooled FY2013, FY2014 cohorts measured in FY2016, FY2017;2016_17;;
NOPELL_RPY_3YR_RT_SUPP;NSLDS pooled FY2013, FY2014 cohorts measured in FY2016, FY2017;2016_17;;
FEMALE_RPY_3YR_RT_SUPP;NSLDS pooled FY2013, FY2014 cohorts measured in FY2016, FY2017;2016_17;;
MALE_RPY_3YR_RT_SUPP;NSLDS pooled FY2013, FY2014 cohorts measured in FY2016, FY2017;2016_17;;
FIRSTGEN_RPY_3YR_RT_SUPP;NSLDS pooled FY2013, FY2014 cohorts measured in FY2016, FY2017;2016_17;;
NOTFIRSTGEN_RPY_3YR_RT_SUPP;NSLDS pooled FY2013, FY2014 cohorts measured in FY2016, FY2017;2016_17;;
C150_L4_POOLED_SUPP;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS);2023_24;;
C150_4_POOLED_SUPP;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS);2023_24;;
C200_L4_POOLED_SUPP;Fall 2019 or AcadYr 2019-20 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS200);2023_24;;
C200_4_POOLED_SUPP;Fall 2015 or AcadYr 2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS200);2023_24;;
ALIAS;AcadYr 2023-24, reported in IPEDS DCY2023-24, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2023-24, at latest) are included.;2023_24;;
C100_4;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D100_4;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
C100_L4;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D100_L4;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
TRANS_4;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
DTRANS_4;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
TRANS_L4;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
DTRANS_L4;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
ICLEVEL;AcadYr 2023-24, reported in IPEDS DCY2023-24;2023_24;;
UGDS_MEN;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
UGDS_WOMEN;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
CDR2_DENOM;FSA FY2011 cohort measured in FY2012;2012_13;;
CDR3_DENOM;FSA FY2021 cohort measured in FY2023;2023_24;;
T4APPROVALDATE;PEPS as of 02/06/2025;2023_24;;
D150_4_WHITE;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_4_BLACK;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_4_HISP;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_4_ASIAN;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_4_AIAN;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_4_NHPI;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_4_2MOR;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_4_NRA;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_4_UNKN;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_4_WHITENH;NA;N/A;;
D150_4_BLACKNH;NA;N/A;;
D150_4_API;NA;N/A;;
D150_4_AIANOLD;NA;N/A;;
D150_4_HISPOLD;NA;N/A;;
D150_L4_WHITE;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_L4_BLACK;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_L4_HISP;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_L4_ASIAN;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_L4_AIAN;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_L4_NHPI;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_L4_2MOR;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_L4_NRA;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_L4_UNKN;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_L4_WHITENH;NA;N/A;;
D150_L4_BLACKNH;NA;N/A;;
D150_L4_API;NA;N/A;;
D150_L4_AIANOLD;NA;N/A;;
D150_L4_HISPOLD;NA;N/A;;
D_PCTPELL_PCTFLOAN;AcadYr 2022-23, reported in IPEDS DCY2023-24;2023_24;;
OPENADMP;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
UGNONDS;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
GRADS;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
ACCREDCODE;PEPS as of 02/06/2025;2023_24;;
OMACHT6_FTFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMAWDP6_FTFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMACHT8_FTFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMAWDP8_FTFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMENRYP8_FTFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMENRAP8_FTFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMENRUP8_FTFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMACHT6_PTFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMAWDP6_PTFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMACHT8_PTFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMAWDP8_PTFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMENRYP8_PTFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMENRAP8_PTFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMENRUP8_PTFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMACHT6_FTNFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMAWDP6_FTNFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMACHT8_FTNFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMAWDP8_FTNFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMENRYP8_FTNFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMENRAP8_FTNFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMENRUP8_FTNFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMACHT6_PTNFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMAWDP6_PTNFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMACHT8_PTNFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMAWDP8_PTNFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMENRYP8_PTNFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMENRAP8_PTNFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
OMENRUP8_PTNFT;AY 2015-16 cohort, reported in IPEDS DCY2023-24;2023_24;;
RET_FT4_POOLED;Fall 2022 bachelor's-seeking cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSRET_FT);2023_24;;
RET_FTL4_POOLED;Fall 2022 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSRET_FT);2023_24;;
RET_PT4_POOLED;Fall 2022 bachelor's-seeking cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSRET_PT);2023_24;;
RET_PTL4_POOLED;Fall 2022 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSRET_PT);2023_24;;
RET_FT_DEN4_POOLED;Fall 2022 bachelor's-seeking cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSRET_FT);2023_24;;
RET_FT_DENL4_POOLED;Fall 2022 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSRET_FT);2023_24;;
RET_PT_DEN4_POOLED;Fall 2022 bachelor's-seeking cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSRET_PT);2023_24;;
RET_PT_DENL4_POOLED;Fall 2022 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSRET_PT);2023_24;;
POOLYRSRET_FT;Number of years of data pooled to calculate RET_FT4_POOLED or RET_FTL4_POOLED;2023_24;;
POOLYRSRET_PT;Number of years of data pooled to calculate RET_PT4_POOLED or RET_PTL4_POOLED;2023_24;;
RET_FT4_POOLED_SUPP;Fall 2022 bachelor's-seeking cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSRET_FT);2023_24;;
RET_FTL4_POOLED_SUPP;Fall 2022 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSRET_FT);2023_24;;
RET_PT4_POOLED_SUPP;Fall 2022 bachelor's-seeking cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSRET_PT);2023_24;;
RET_PTL4_POOLED_SUPP;Fall 2022 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSRET_PT);2023_24;;
TRANS_4_POOLED;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS);2023_24;;
TRANS_L4_POOLED;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS);2023_24;;
DTRANS_4_POOLED;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS);2023_24;;
DTRANS_L4_POOLED;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS);2023_24;;
TRANS_4_POOLED_SUPP;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS);2023_24;;
TRANS_L4_POOLED_SUPP;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS);2023_24;;
C100_4_POOLED;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS100);2023_24;;
C100_L4_POOLED;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS100);2023_24;;
D100_4_POOLED;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS100);2023_24;;
D100_L4_POOLED;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS100);2023_24;;
POOLYRS100;Number of years of data pooled to calculate C100_4_POOLED or C100_L4_POOLED;2023_24;;
C100_4_POOLED_SUPP;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS100);2023_24;;
C100_L4_POOLED_SUPP;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRS100);2023_24;;
C150_4_PELL;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_4_PELL;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
C150_L4_PELL;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_L4_PELL;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
C150_4_LOANNOPELL;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_4_LOANNOPELL;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
C150_L4_LOANNOPELL;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_L4_LOANNOPELL;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
C150_4_NOLOANNOPELL;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_4_NOLOANNOPELL;Fall 2017 or AcadYr 2017-18 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
C150_L4_NOLOANNOPELL;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
D150_L4_NOLOANNOPELL;Fall 2020 or AcadYr 2020-21 cohort (differs by institutional calendar), reported in IPEDS DCY2023-24;2023_24;;
GT_28K_P10;Treasury AY2003-04, AY2004-05 pooled cohort measured in CY2014, CY2015, inflation adjusted to 2017 dollars;2014_15;;
GT_28K_P8;Treasury AY2005-06, AY2006-07 pooled cohort measured in CY2014, CY2015, inflation adjusted to 2017 dollars;2014_15;;
GT_28K_P6;Treasury AY2007-08, AY2008-09 pooled cohort measured in CY2014, CY2015, inflation adjusted to 2017 dollars;2014_15;;
OMACHT6_FTFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTFT);2023_24;;
OMAWDP6_FTFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTFT);2023_24;;
OMACHT8_FTFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTFT);2023_24;;
OMAWDP8_FTFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTFT);2023_24;;
OMENRYP8_FTFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTFT);2023_24;;
OMENRAP8_FTFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTFT);2023_24;;
OMENRUP8_FTFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTFT);2023_24;;
OMACHT6_PTFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTFT);2023_24;;
OMAWDP6_PTFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTFT);2023_24;;
OMACHT8_PTFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTFT);2023_24;;
OMAWDP8_PTFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTFT);2023_24;;
OMENRYP8_PTFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTFT);2023_24;;
OMENRAP8_PTFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTFT);2023_24;;
OMENRUP8_PTFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTFT);2023_24;;
OMACHT6_FTNFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTNFT);2023_24;;
OMAWDP6_FTNFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTNFT);2023_24;;
OMACHT8_FTNFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTNFT);2023_24;;
OMAWDP8_FTNFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTNFT);2023_24;;
OMENRYP8_FTNFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTNFT);2023_24;;
OMENRAP8_FTNFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTNFT);2023_24;;
OMENRUP8_FTNFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTNFT);2023_24;;
OMACHT6_PTNFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTNFT);2023_24;;
OMAWDP6_PTNFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTNFT);2023_24;;
OMACHT8_PTNFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTNFT);2023_24;;
OMAWDP8_PTNFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTNFT);2023_24;;
OMENRYP8_PTNFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTNFT);2023_24;;
OMENRAP8_PTNFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTNFT);2023_24;;
OMENRUP8_PTNFT_POOLED;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTNFT);2023_24;;
POOLYRSOM_FTFT;Number of years of data pooled to calculate OM*_FTFT;2023_24;;
POOLYRSOM_PTFT;Number of years of data pooled to calculate OM*_PTFT;2023_24;;
POOLYRSOM_FTNFT;Number of years of data pooled to calculate OM*_FTNFT;2023_24;;
POOLYRSOM_PTNFT;Number of years of data pooled to calculate OM*_PTNFT;2023_24;;
OMAWDP6_FTFT_POOLED_SUPP;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTFT);2023_24;;
OMAWDP8_FTFT_POOLED_SUPP;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTFT);2023_24;;
OMENRYP8_FTFT_POOLED_SUPP;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTFT);2023_24;;
OMENRAP8_FTFT_POOLED_SUPP;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTFT);2023_24;;
OMENRUP8_FTFT_POOLED_SUPP;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTFT);2023_24;;
OMAWDP6_PTFT_POOLED_SUPP;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTFT);2023_24;;
OMAWDP8_PTFT_POOLED_SUPP;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTFT);2023_24;;
OMENRYP8_PTFT_POOLED_SUPP;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTFT);2023_24;;
OMENRAP8_PTFT_POOLED_SUPP;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTFT);2023_24;;
OMENRUP8_PTFT_POOLED_SUPP;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_PTFT);2023_24;;
OMAWDP6_FTNFT_POOLED_SUPP;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTNFT);2023_24;;
OMAWDP8_FTNFT_POOLED_SUPP;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTNFT);2023_24;;
OMENRYP8_FTNFT_POOLED_SUPP;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTNFT);2023_24;;
OMENRAP8_FTNFT_POOLED_SUPP;AY 2015-16 cohort, reported in IPEDS DCY2023-24 pooled with previous years (# of total pooled years found in POOLYRSOM_FTNFT);2023_24;;
