University/College Name,School Link,City,State,Name of the state,Control,Region,Accessible to Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Cost of Attendance from year,Types of Aid for international students,Number of international students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Source,Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name and Information,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after Merit Scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate
Providence College,https://www.providence.edu,Providence,RI,Rhode Island,Private,Northeast (New England),,City: Midsize,1K - 9K,Coeducational,No,Balanced,Very High,Off-campus,4-Moderately,$63.550,$17.840,$85.390,24-25,Both,58,"90,6%",$80.368,$1.630,CDS24,$4.7m,No,$37.000,Academic Tuition Scholarship,https://financial-aid.providence.edu/types-of-assistance/institutional-merit-based/,"The top scholarship is the Roddy Scholarship, which requires a separate application. Other Merit Scholarships are awarded automatically based on the admission application.",$26.550,$48.390,Automatic consideration,"48,7%"
Purdue University-Fort Wayne,https://www.pfw.edu,Fort Wayne,IN,Indiana,Public,Midwest (Great Lakes),,City: Large,5K - 10K,Coeducational,No,Professional,Very High,Off-campus,0-None,$22.887,$11.669,$38.556,24-25,Merit,93,"64,1%",$6.727,$29.825,CDS24,$0.6m,N/A,,,,,,TBD,-,"87,5%"
Purdue University-Northwest,https://www.pnw.edu,Hammond,IN,Indiana,Public,Midwest (Great Lakes),"Chicago, IL",Suburb: Large,5K - 10K,Coeducational,No,Professional,Very High,On-campus,0-None,$13.439,$8.907,$26.346,24-25,Merit,94,"52,0%",$3.397,$24.633,USN25,,N/A,,,,,,,-,38%
Purdue University-West Lafayette,https://www.purdue.edu,West Lafayette,IN,Indiana,Public,Midwest (Great Lakes),,City: Small,20K+,Coeducational,No,Professional,High,On-campus,0-None,$31.104,$12.820,$47.924,24-25,Merit,,,,$44.444,,,N/A,,,,,,TBD,-,"50,3%"
Queens University of Charlotte,https://www.queens.edu,Charlotte,NC,North Carolina,Private,Southeast,,City: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,2-Slightly,$45.846,$17.496,$67.342,24-25,Both,166,"96,0%",$36.350,$26.928,CDS24,$6.0m,No,not specified,,,,,,,"67,7%"
Quinnipiac University,https://www.qu.edu,Hamden,CT,Connecticut,Private,Northeast (New England),New York City,Suburb: Large,5K - 10K,Coeducational,No,Professional,High,On-campus,0-None,$55.480,$17.260,$76.740,24-25,Merit,115,"100,0%",$49.862,$23.698,CDS24,$5.7m,N/A,not specified,International Student Scholarship,https://www.qu.edu/paying-for-college/browse-financial-aid/scholarships-grants/international-student-scholarship/,All international applicants are automatically considered for merit-based scholarships with their application for admission. No separate application is needed.,,,Automatic consideration,"77,0%"
Ramapo College of New Jersey,https://www.ramapo.edu,Mahwah,NJ,New Jersey,Public,Northeast (Mid-Atlantic),New York City,Suburb: Large,5K - 10K,Coeducational,No,Balanced,Very High,On-campus,0-None,$27.444,$14.572,$46.016,24-25,Merit,50,"99,7%",$24.398,$21.824,CDS24,$1.2m,N/A,$14.000,Merit Scholarships,https://www.ramapo.edu/undergraduate/international/,International students are automatically considered for merit-based scholarships upon admission. No separate application is needed.,$13.444,$32.016,Automatic consideration,"73,4%"
Randolph College,https://www.randolphcollege.edu,Lynchburg,VA,Virginia,Private,Southeast,,City: Small,<1K,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,$29.010,$11.890,$44.900,23-24,None,No data,,No data,,,,N/A,not specified,Merit Scholarship,https://www.randolphcollege.edu/financialaid/scholarships/,All applicants for admission are automatically considered for merit-based scholarships. No separate application is required.,,,,95%
Randolph-Macon College,https://www.rmc.edu,Ashland,VA,Virginia,Private,Southeast,,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$49.466,$14.540,$68.006,24-25,Both,15,"88,2%",$15.334,$51.298,CDS24,$0.6m,No,$29.000,Presidential Scholars,https://www.rmc.edu/admissions-and-aid/tuition-and-aid/scholarships-and-grants/,A competitive scholarship program. Students are invited to apply after they are admitted to the college.,$20.466,$39.006,Automatic consideration,83%
Reed College,https://www.reed.edu,Portland,OR,Oregon,Private,West Coast,,City: Large,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,0-None,$67.020,$15.950,$86.970,23-24,Need,41,"40,6%",$61.716,$25.254,CDS24,$2.5m,Yes (Need-aware),,,,,,,-,"27,2%"
Regis University,https://www.regis.edu,Denver,CO,Colorado,Private,West (Rocky Mountains),,City: Large,1K - 9K,Coeducational,No,Professional,Minority,On-campus,3-Somewhat,$43.980,$15.762,$63.742,24-25,Both,18,"69,2%",$19.181,$43.417,CDS24,$0.3m,No,$27.000,,,,$16.980,$36.742,Unclear,"87,1%"
Rensselaer Polytechnic Institute (RPI),https://www.rpi.edu,Troy,NY,New York,Private,Northeast (Mid-Atlantic),,City: Small,5K - 10K,Coeducational,No,Professional,High,On-campus,0-None,$64.081,$18.120,$86.201,24-25,Merit,83,"15,9%",$45.001,$38.413,CDS24,$3.6m,N/A,$40.000,Rensselaer Medal,https://admissions.rpi.edu/aid/scholarships-and-grants,An award for outstanding math and science students. Students must be nominated by their high school in their junior year. It is not an award students can apply for directly.,$24.081,$46.201,Automatic consideration,"58,5%"
Rhode Island School of Design,https://www.risd.edu,Providence,RI,Rhode Island,Private,Northeast (New England),,City: Midsize,1K - 9K,Coeducational,No,Balanced,High,On-campus,0-None,$59.760,$15.234,$78.994,23-24,Pending,No data,,No data,,,,,,,,,,,-,17%
Rhodes College,https://www.rhodes.edu,Memphis,TN,Tennessee,Private,Southeast,,City: Large,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$57.110,$13.620,$74.730,24-25,Both,152,"100,0%",$35.087,$36.715,CDS24,$5.3m,Yes (Need-aware),$40.000,Cambridge Scholarship,https://www.rhodes.edu/admission-aid/cost-affordability/scholarships-fellowships,A premier scholarship. All applicants are considered; top candidates are invited to write an additional essay. Finalists are then selected from that group.,$17.110,$34.730,Automatic consideration,"49,2%"
Rice University,https://www.rice.edu,Houston,TX,Texas,Private,South (Central),"Houston, TX",City: Large,5K - 10K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$60.709,$18.100,$82.809,24-25,Both,135,"23,7%",$70.452,$7.576,CDS24,$9.5m,Yes (Need-aware),not specified,Distinguished Trustee Scholarship,https://financialaid.rice.edu/types-aid/merit-scholarships,All applicants for admission are automatically considered for all merit-based scholarships. No separate application is required.,,,Automatic consideration,"8,0%"
Rider University,https://www.rider.edu,Lawrenceville,NJ,New Jersey,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,1-Historically,$41.120,$17.230,$62.350,24-25,Merit,91,"91,8%",$44.304,,USN25,$4.0m,N/A,Full Tuition,Trustee Scholarship,https://www.rider.edu/tuition-aid/financial-aid/scholarships-grants/first-year/trustee-scholarship,The top merit-based scholarship. All first-year applicants are automatically considered based on their admission application. No separate application is required.,$0,$21.230,Requires application,79%
Ringling College of Art and Design,https://www.ringling.edu,Sarasota,FL,Florida,Private,Southeast,,City: Small,1K - 9K,Coeducational,No,Professional,Exclusively,On-campus,0-None,$57.900,$18.270,$80.170,24-25,Both,341,"96,1%",$7.861,$69.469,USN25,$2.7m,,,,,,,,-,67%
Ripon College,https://www.ripon.edu,Ripon,WI,Wisconsin,Private,Midwest (Great Lakes),,Town: Distant,<1K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$51.900,$10.800,$66.700,24-25,Both,7,"86,7%",$37.967,,USN25,$0.3m,No,$39.000,Academic Scholarship,https://ripon.edu/international-scholarships/,International students are automatically considered for Merit Scholarships at the point of admission. No separate application is necessary.,$12.900,$27.700,Automatic consideration,84%
Roanoke College,https://www.roanoke.edu,Salem,VA,Virginia,Private,Southeast,,Suburb: Midsize,1K - 9K,Coeducational,No,Balanced,Exclusively,On-campus,2-Slightly,$36.774,$15.366,$56.140,23-24,Merit,No data,,No data,,,,N/A,$20.000,Merit Scholarship,https://www.roanoke.edu/merit,All applicants are automatically considered for Merit Scholarships. The highest award is the Trustee Scholarship. No separate application is required.,$16.774,$36.140,Automatic consideration,80%
Robert Morris University,https://www.rmu.edu,Moon Township,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,Suburb: Large,1K - 9K,Coeducational,No,Professional,Very High,On-campus,0-None,$35.760,$13.100,$52.860,24-25,Pending,No data,,No data,,,,,,,,,,,-,91%
Rochester Institute of Technology (RIT),https://www.rit.edu,Rochester,NY,New York,Private,Northeast (Mid-Atlantic),,Suburb: Large,10K - 20K,Coeducational,No,Professional,High,On-campus,0-None,$59.274,$16.142,$79.416,24-25,Both,454,"83,3%",$22.002,$54.530,CDS24,$10.0m,No,$20.000,Merit Scholarship,https://www.rit.edu/admissions/aid/merit-based-scholarships,All applicants are automatically considered for Merit Scholarships based on the strength of their admission application. No separate application is required.,$39.274,$59.416,Automatic consideration,"71,1%"
Rockhurst University,https://www.rocky.edu,Kansas City,MO,Missouri,Private,Midwest (Great Plains),,City: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,3-Somewhat,$44.966,$11.920,$60.886,24-25,Merit,51,"70,0%",$41.259,,USN25,$2.1m,N/A,Full Tuition,Trustees' Scholarship,https://www.rockhurst.edu/admissions/freshman/scholarships,A full-tuition scholarship competition. High-achieving admitted students are invited to apply and participate in an on-campus event. By invitation only.,$0,$15.920,By invitation only,69%
Rocky Mountain College,https://www.rockhurst.edu,Billings,MT,Montana,Private,West (Rocky Mountains),,City: Midsize,<1K,Coeducational,No,Professional,High,On-campus,3-Somewhat,$35.582,$10.152,$49.734,24-25,Merit,45,"100,0%",$28.979,$17.849,CDS24,$1.3m,N/A,,,,,,TBD,-,"72,9%"
Rollins College,https://www.rollins.edu,Winter Park,FL,Florida,Private,Southeast,,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,$60.580,$16.820,$81.400,24-25,Both,173,"94,0%",$36.037,$42.453,CDS24,$6.2m,No,Full ride,Alfond Scholars Program,https://www.rollins.edu/scholarships-aid/scholarships/academic/,"A premier, full-cost scholarship. Ten recipients are selected from the pool of admitted early Decision and Regular Decision applicants. No separate application is needed.",$0,$4.000,By invitation only,"40,6%"
Rose-Hulman Institute of Technology,https://www.rose-hulman.edu,Terre Haute,IN,Indiana,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Professional,Very High,On-campus,0-None,$56.049,$17.727,$77.776,24-25,Both,179,"94,2%",$21.318,$54.574,CDS24,$3.3m,No,$27.500,International Student Scholarship,https://www.rose-hulman.edu/admissions-and-aid/the-application-process/application-and-deadlines/international-student-scholarship-guide.html,All international applicants are automatically considered for Merit Scholarships and need-based grants with their admission application. The CSS Profile is required for need-based aid consideration.,$28.549,$50.276,Automatic consideration,73%
Rowan University,https://www.rowan.edu,Glassboro,NJ,New Jersey,Public,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,10K - 20K,Coeducational,No,Balanced,High,On-campus,0-None,$26.932,$15.266,$46.198,24-25,Merit,153,"57,1%",$10.311,$35.806,CDS24,$1.6m,N/A,$19.000,International Scholarship,https://admissions.rowan.edu/admissions-process/international-requirements/scholarships-international-students.html,All admitted international students are automatically considered for merit-based scholarships. No separate application is required.,$7.932,$27.198,Automatic consideration,"77,8%"
Russell Sage College,https://www.sage.edu,Troy,NY,New York,Private,Northeast (Mid-Atlantic),,City: Small,1K - 9K,Coeducational,No,Professional,Majority,Off-campus,1-Historically,$36.756,$13.791,$54.547,23-24,Merit,,,,$54.547,,,N/A,,,,,,TBD,-,75%
Rutgers University-Camden,https://www.camden.rutgers.edu,Camden,NJ,New Jersey,Public,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Small,5K - 10K,Coeducational,No,Professional,High,On-campus,0-None,$37.276,$14.376,$55.652,24-25,Merit,55,"79,7%",$15.365,$37.865,CDS24,$0.8m,N/A,$15.000,International Chancellor's Scholarship,https://admissions.rutgers.edu/international-chancellor-scholarship,All international students are automatically considered for this merit-based scholarship upon admission to Rutgers–Camden. No separate application is needed.,$22.276,$40.652,Automatic consideration,"77,8%"
Rutgers University-New Brunswick,https://www.newbrunswick.rutgers.edu,Piscataway,NJ,New Jersey,Public,Northeast (Mid-Atlantic),New York City,City: Small,20K+,Coeducational,No,Balanced,High,On-campus,1-Historically,$37.441,$15.714,$57.155,24-25,Merit,289,"11,6%",$17.931,$36.785,CDS24,$5.2m,N/A,$16.000,International Student Scholarship,https://honorscollege.rutgers.edu/scholarships,"The provided link is for the Honors College. Rutgers does not offer broad Merit Scholarships to international students, but some may be available to those admitted to specific programs like the Honors College.",$21.441,$41.155,Automatic consideration,"65,3%"
Rutgers University-Newark,https://www.newark.rutgers.edu,Newark,NJ,New Jersey,Public,Northeast (Mid-Atlantic),New York City,City: Large,10K - 20K,Coeducational,No,Professional,High,On-campus,0-None,$36.762,$16.074,$56.836,24-25,Merit,31,"22,5%",$7.467,$46.941,CDS24,$0.2m,N/A,,,,,,TBD,-,"78,7%"
Sacred Heart University,https://www.sacredheart.edu,Fairfield,CT,Connecticut,Private,Northeast (New England),New York City,Suburb: Large,10K - 20K,Coeducational,No,Professional,High,On-campus,3-Somewhat,$50.404,$19.140,$73.544,24-25,Merit,68,"88,8%",$32.345,,USN25,$2.2m,N/A,$20.000,President's Excellence Scholarship,https://www.sacredheart.edu/admissions--aid/financial-assistance/full-time-undergraduates/scholarships--grants/university-scholarships--grants/,The top Merit Scholarship awarded to a select group of applicants. All students are automatically considered upon admission. No separate application is needed.,$30.404,$53.544,Automatic consideration,68%
Saginaw Valley State University,https://www.svsu.edu,University Cente,MI,Michigan,Public,Midwest (Great Lakes),,Suburb: Midsize,5K - 10K,Coeducational,No,Professional,Very High,On-campus,0-None,$28.752,$11.400,$44.152,23-24,Merit,145,"89,5%",$12.426,$31.726,CDS24,$1.8m,N/A,,,,,,TBD,-,"72,9%"
Saint Anselm College,https://www.anselm.edu,Manchester,NH,New Hampshire,Private,Northeast (New England),"Boston, MA",Suburb: Midsize,1K - 9K,Coeducational,No,Balanced,Exclusively,On-campus,3-Somewhat,$48.920,$17.020,$69.940,24-25,Both,15,"100,0%",$50.459,$16.871,CDS24,$0.8m,No,$30.000,Presidential Scholarship,https://www.anselm.edu/admission-aid/tuition-financial-aid/types-aid/scholarships-and-grants,The premier Merit Scholarship offered. All applicants are automatically considered based on their admission application.,$18.920,$39.940,Unclear,78%
Saint John's University MN,https://www.csbsju.edu,Collegeville,MN,Minnesota,Private,Midwest (Great Plains),,Rural: Fringe,1K - 9K,Men's,No,Arts and Sciences,Very High,On-campus,3-Somewhat,$55.816,$12.430,$72.246,24-25,Both,49,"100,0%",$40.452,$29.620,USN25,$2.0m,No,,,,,,TBD,-,80%
Saint Joseph's University,https://www.sju.edu,Philadelphia,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Large,5K - 10K,Coeducational,No,Professional,High,Off-campus,3-Somewhat,$53.260,$16.240,$73.500,24-25,Merit,87,"91,6%",$40.470,$30.610,CDS24,$3.5m,N/A,Full Tuition,John P. McNulty Scholarship for Leadership in Science & M,https://www.sju.edu/scholarships,"A program for female students in STEM fields that requires a separate application. The top general merit award is the Presidential Scholarship, which is awarded automatically upon admission.",$0,$20.240,Requires application,"86,4%"
Saint Leo University,https://www.saintleo.edu,Saint Leo,FL,Florida,Private,Southeast,,Town: Fringe,10K - 20K,Coeducational,No,Professional,Majority,On-campus,3-Somewhat,$28.360,$15.724,$48.084,23-24,Merit,No data,,No data,,,,N/A,50% tuition,Study Florida 50% Tuition Scholarship,https://www.saintleo.edu/tuition-financial-aid/aid/grants-scholarships,This award is for international students who are transferring to Saint Leo from another Florida institution. It is not for first-year students.,$14.180,$33.904,Automatic consideration,80%
Saint Louis University,https://www.slu.edu,St. Louis,MO,Missouri,Private,Midwest (Great Plains),,City: Large,10K - 20K,Coeducational,No,Professional,Majority,On-campus,3-Somewhat,$55.760,$15.280,$75.040,24-25,Both,No data,No data,No data,,,,No,Full Tuition,Presidential Scholarship,https://www.slu.edu/financial-aid/types-of-aid/scholarships.php,"SLU's most prestigious scholarship. A separate application is required after admission, and finalists are invited to campus for an interview.",$0,$19.280,Requires application,81%
Saint Mary's College of California,https://www.stmarys-ca.edu,Moraga,CA,California,Private,West Coast,SF/Silicon Valley,Suburb: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$57.803,$17.600,$79.403,24-25,Both,64,"100,0%",$51.482,$25.552,CDS24,$3.3m,No,,,,,,TBD,-,"88,7%"
Saint Michael's College,https://www.smcvt.edu,Colchester,VT,,Private,Northeast (New England),,Suburb: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,3-Somewhat,$51.450,$17.070,$72.520,24-25,Merit,45,"97,9%",$38.666,,USN25,$1.7m,N/A,$30.000,International Student Scholarship,https://www.smcvt.edu/admission-aid/applysmc/international-scholarships/,All admitted international students are automatically considered for merit-based scholarships and need-based grants. The CSS Profile is recommended for need-based aid.,$21.450,$42.520,Automatic consideration,92%
Salve Regina University,https://www.salve.edu,Newport,RI,Rhode Island,Private,Northeast (New England),,Suburb: Large,1K - 9K,Coeducational,No,Professional,High,Off-campus,3-Somewhat,$50.100,$18.550,$72.650,24-25,Both,59,"96,1%",$33.489,$35.941,USN25,$2.0m,,,,,,,,-,70%
Sam Houston State University,https://www.shsu.edu,Huntsville,TX,Texas,Public,South (Central),,Town: Distant,20K+,Coeducational,No,Professional,Very High,On-campus,0-None,$23.670,$11.720,$34.740,23-24,Merit,89,"65,0%",$20.156,$14.584,CDS24,$1.8m,N/A,OOS waiver,Tuition Waiver,http://catalog.shsu.edu/undergraduate/financial-information/tuition-fees/,"This is not a scholarship but a policy. Students who receive a competitive university scholarship of at least $1,000 may be eligible for a waiver of out-of-state tuition.",$11.370,$27.090,Automatic consideration,"85,4%"
Samford University,https://www.samford.edu,Birmingham,AL,Alabama,Private,Southeast (Deep South),,Suburb: Large,5K - 10K,Coeducational,No,Professional,Majority,Off-campus,5-Very,$40.150,$13.056,$57.206,24-25,Merit,33,"39,2%",$40.360,$13.944,CDS24,$1.3m,N/A,,,,,,TBD,-,"82,2%"
San Diego State University,https://www.sdsu.edu,San Diego,CA,California,Public,West Coast,"San Diego, CA",City: Large,20K+,Coeducational,No,Balanced,High,Off-campus,0-None,$21.328,$23.030,$48.358,24-25,Merit,62,"6,3%",$25.060,$20.740,CDS24,$1.6m,N/A,not specified,Aztec Scholarships,https://sacd.sdsu.edu/financial-aid/scholarships/sdsu-aztec-scholarships,A general application portal for various scholarships for admitted and continuing students. Most scholarships require the separate Aztec Scholarship application.,,,Requires application,"34,2%"
San Francisco State University,https://www.sfsu.edu,San Francisco,CA,California,Public,West Coast,SF/Silicon Valley,City: Large,20K+,Coeducational,No,Balanced,High,Off-campus,0-None,$14.670,$22.266,$40.936,24-25,None,,,,,,,N/A,,,,,,,,90%
San Jose State University,https://www.sjsu.edu,San Jose,CA,California,Public,West Coast,SF/Silicon Valley,City: Large,20K+,Coeducational,No,Professional,High,On-campus,0-None,$21.010,$16.035,$41.045,24-25,Merit,147,"10,6%",$17.293,$26.445,CDS24,$2.5m,N/A,,,,,,TBD,-,"80,2%"
Santa Clara University,https://www.scu.edu,Santa Clara,CA,California,Private,West Coast,SF/Silicon Valley,City: Midsize,5K - 10K,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,$61.293,$19.893,$85.186,24-25,Merit,54,"11,2%",$46.872,$35.353,CDS24,$2.4m,N/A,Full ride+stipend,Johnson Scholars Program,https://www.scu.edu/financialaid/types-of-aid/scholarships-and-grants/merit-scholarships/,"A comprehensive scholarship for students with the highest academic achievement, leadership, and service. Consideration is automatic for all first-year applicants; finalists are invited to interview.",$0,$3.000,Automatic consideration,"47,0%"
Sarah Lawrence College,https://www.sarahlawrence.edu,Bronxville,NY,New York,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,High,On-campus,0-None,$66.862,$18.426,$89.288,24-25,Both,43,"56,5%",$23.203,$62.021,USN25,,No,,,,,,TBD,-,"58,9%"
Savannah College of Art and Design,https://www.scad.edu,Savannah,GA,Georgia,Private,Southeast (Deep South),,City: Midsize,10K - 20K,Coeducational,No,Professional,High,On-campus,0-None,$41.630,$18.123,$63.753,24-25,Both,1.770,"81,4%",$11.151,$50.937,USN25,,,,,,,,,-,84%
Scripps College,https://www.scrippscollege.edu,Claremont,CA,California,Private,West Coast,"Los Angeles, CA",Suburb: Large,1K - 9K,Women's,No,Arts and Sciences,Very High,On-campus,0-None,$65.950,$22.136,$92.086,24-25,Both,14,"32,6%",$54.325,$34.107,CDS24,$0.8m,Yes (Need-aware),$30.000,James E. Scripps Scholarship,https://www.scrippscollege.edu/admission/apply/first-year-applicants,All applicants are automatically considered for merit-based scholarships. No separate application is required.,$35.950,$62.086,Automatic consideration,"33,9%"
Seattle University,https://www.seattleu.edu,Seattle,WA,Washington,Private,West Coast,"Seattle, WA",City: Large,5K - 10K,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,$56.721,$15.702,$76.423,24-25,Both,283,"76,5%",$27.169,$45.864,USN25,$7.7m,No,$30.000,Merit Scholarship,https://www.seattleu.edu/undergraduate-admissions/finances/scholarships/firstyear/,"All first-year applicants, including international students, are automatically considered for Merit Scholarships upon admission.",$26.721,$46.423,Automatic consideration,75%
Seton Hall University,https://www.shu.edu,South Orange,NJ,New Jersey,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,5K - 10K,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,$53.170,$17.970,$75.140,24-25,Both,No data,No data,No data,,,,No,$20.000,University Scholarship,https://www.shu.edu/undergraduate-admissions/scholarships.html,The top Merit Scholarship awarded. All students are automatically considered based on the strength of their admission application. No separate application is needed.,$33.170,$55.140,Automatic consideration,79%
Seton Hill University,https://www.setonhill.edu,Greensburg,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,Suburb: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,3-Somewhat,$42.944,$14.134,$61.078,24-25,None,,,,,,,N/A,,,,,,,,76%
Sewanee - The University of the South,https://www.sewanee.edu,Sewanee,TN,Tennessee,Private,Southeast,,Rural: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,4-Moderately,$56.120,$16.028,$76.148,24-25,Both,71,"98,6%",$60.411,$12.631,CDS24,$4.3m,Yes (Need-aware),Full ride,Vice-Chancellor's and Benedict Scholarship,https://new.sewanee.edu/admission-aid/cost-financial-aid/scholarships/,These are premier Merit Scholarships. All applicants for admission are automatically considered. Top candidates may be invited for an interview.,$0,$4.000,Automatic consideration,"50,9%"
Shippensburg University of Pennsylvania,https://www.ship.edu,Shippensburg,PA,Pennsylvania,Public,Northeast (Mid-Atlantic),,Town: Fringe,5K - 10K,Coeducational,No,Professional,Very High,On-campus,0-None,$15.648,$12.952,$32.600,24-25,Merit,27,"87,2%",$15.274,$15.912,USN25,$0.3m,N/A,,,,,,,,86%
Siena College,https://www.siena.edu,Loudonville,NY,New York,Private,Northeast (Mid-Atlantic),,Suburb: Large,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,3-Somewhat,$45.805,$17.085,$66.890,24-25,Both,No data,No data,No data,,,,No,not specified,Presidential Scholarship,https://www.siena.edu/afford/scholarships/,The premier merit-based scholarship. All first-year applicants are automatically considered based on their admission application. No separate application is required.,,,Automatic consideration,"70,6%"
Simmons University,https://www.simmons.edu,Boston,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Large,5K - 10K,Women's,No,Balanced,Minority,On-campus,0-None,$46.874,$17.618,$68.492,24-25,Merit,73,"96,5%",$26.757,$39.885,USN25,$2.0m,N/A,Full ride,Distinguished Scholar Award,https://www.simmons.edu/undergraduate/admission-and-financial-aid/tuition-financial-aid/types-financial-aid/scholarships/distinguished-scholar,"A competitive, full-tuition scholarship. Requires a separate application, essay, and interview for finalists.",$0,$4.000,Requires application,66%
Simpson College,https://www.simpson.edu,Indianola,IA,Iowa,Private,Midwest (Great Plains),,Town: Fringe,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,$47.656,$10.500,$62.156,24-25,Need,28,"100,0%",$34.168,$26.132,USN25,$1.0m,,,,,,,,-,89%
Skidmore College,https://www.skidmore.edu,Saratoga Spring,NY,New York,Private,Northeast (Mid-Atlantic),,Suburb: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,0-None,$67.140,$17.940,$89.080,24-25,Limited,102,"42,7%",$72.426,$13.794,CDS24,$7.4m,Yes (Need-aware),$20.000,STEM subjects,https://www.skidmore.edu/financialaid/freshmen_faq.php,The link indicates Skidmore offers the Porter/Wachenheim Presidential Scholarship in Science and Mathematics. No separate application is required; recipients are chosen from the applicant pool.,$47.140,$69.080,Requires application,23%
Smith College,https://www.smith.edu,Northampton,MA,Massachusetts,Private,Northeast (New England),,City: Small,1K - 9K,Women's,No,Arts and Sciences,High,On-campus,1-Historically,$65.178,$22.570,$91.748,24-25,Merit,140,"43,5%",$79.023,$7.855,CDS24,$11.1m,Yes (Need-aware),$22.500,Stride Scholarship,https://www.smith.edu/academics/applied-learning-research/stride-program,A program for students with strong academic records. Requires a separate application. Scholars receive a stipend and work as paid research assistants to a faculty member for two years.,$42.678,$69.248,Requires application,"19,7%"
Soka University of America,https://www.soka.edu,Aliso Viejo,CA,California,Private,West Coast,"Los Angeles, CA",Suburb: Large,<1K,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,$38.728,$14.378,$57.106,24-25,Both,248,"98,8%",$51.377,$3.965,CDS24,$12.7m,Yes (Need-aware),Full ride+stipend,Global Merit Scholarship,https://catalog.soka.edu/types-of-financial-aid,All admitted students are automatically considered for this merit-based scholarship. No separate application is required.,$0,$0,Automatic consideration,"69,5%"
South Dakota School of Mines & Technology,https://www.sdsmt.edu,Rapid City,SD,South Dakota,Public,Midwest (Great Plains),,City: Small,1K - 9K,Coeducational,No,Professional,High,On-campus,0-None,$14.900,$10.800,$29.700,24-25,Merit,13,"46,0%",$3.817,,USN25,$0.0m,N/A,$7.000,Presidential Scholarship,https://www.sdsmt.edu/Admissions/International-Students/Costs-and-Fees/,"The Surbeck Scholarship is the premier award. International students can be considered for Merit Scholarships, reducing tuition to the in-state rate. Consideration is automatic with the admission application.",$7.900,$22.700,Automatic consideration,85%
South Dakota State University,https://www.sdstate.edu,Brookings,SD,South Dakota,Public,Midwest (Great Plains),,Town: Remote,10K - 20K,Coeducational,No,Professional,Very High,On-campus,0-None,$12.809,$10.176,$26.985,24-25,Merit,147,"42,5%",$4.935,$21.436,USN25,$0.7m,N/A,,,,,,,-,99%
Southeast Missouri State University,https://www.semo.edu,Cape Girardeau,MO,Missouri,Public,Midwest (Great Plains),,City: Small,5K - 10K,Coeducational,No,Professional,Very High,Off-campus,0-None,$11.247,$11.810,$27.057,24-25,Merit,257,"81,3%",$7.677,$17.304,CDS24,$2.0m,N/A,$8.000,International Academic Excellence award,https://semo.edu/student-support/financial-services/_pdfs/2425internationalscholarshiptermsandconditions.pdf,A merit-based scholarship for international students. Awarded automatically upon admission to eligible students based on their high school GPA. No separate application needed.,$3.247,$19.057,Automatic consideration,"78,5%"
