University/College Name,City,State,Name of the state,Control,Region,Popular Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Budget category,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Types of Aid for international students,Number of International Students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate,International admission rate,Yield (approximate),International yield,Class of 2027 - international applications,Class of 2027 - international students admitted,Class of 2027 international accepted offer/enrolled,Regular Decision acceptance rate,early plan offered?,Early Decision 2 offered?,Source_List
Occidental College,Los Angeles,CA,California,Private,West Coast,"Los Angeles, CA",City: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$66.274,$19.380,$89.654,Both,32,42%,$27.244,$58.486,$0.9m,Yes (Need-aware),$35.000,Margaret Bundy Scott Scholarship,https://www.oxy.edu/financial-aid/financial-aid-awards/grants-scholarships/oxy-merit-scholarships,The premier Merit Scholarship awarded to a select group of applicants. All applicants for admission are automatically considered. No separate application is necessary.,$31.274,$54.654,Automatic consideration,"39,9%","15,2%",20%,17%,945,144,25,"39,0%",Early Decision only,Yes,early_admission
Oglethorpe University,Atlanta,GA,Georgia,Private,Southeast (Deep South),,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$35.000,$47.590,$15.780,$67.370,Both,221,100%,$34.534,$30.572,$7.6m,,,,,,,,-,87%,74%,23%,-,,-,,89%,Early Action Only,,early_admission
Ohio State University,Columbus,OH,Ohio,Public,Midwest (Great Lakes),,City: Large,20K+,Coeducational,No,Professional,High,On-campus,0-None,$55.000,$40.022,$14.728,$58.750,Merit,5,0%,$1.741,$54.896,$0.0m,N/A,not specified,,,,,,,"50,8%","57,3%",23%,10%,11948,6841,707,29%,Early Action Only,,early_admission
Ohio University,Athens,OH,Ohio,Public,Midwest (Great Lakes),,Town: Distant,20K+,Coeducational,No,Professional,High,On-campus,0-None,$35.000,$24.838,$14.162,$43.000,Merit,124,62%,$7.228,$34.480,$0.9m,N/A,,,,,,TBD,-,"85,0%","55,6%",21%,3%,1403,780,26,71%,Early Action Only,,early_admission
Ohio Wesleyan University,Delaware,OH,Ohio,Private,Midwest (Great Lakes),,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$25.000,$53.888,$14.684,$72.572,Both,85,91%,$39.209,$31.313,$3.3m,No,Full Tuition,Rutherford B. Hayes Scholarship,https://www.owu.edu/admission/apply/international-students/international-scholarships-and-need-based-aid/,"This is a premier, full-tuition scholarship. Requires a separate scholarship application. Other merit awards, like the Trustee Scholarship, are considered automatically upon admission.",$0,$18.684,Automatic consideration,"52,2%",14%,16%,,,,,51%,Both,,early_admission
Old Dominion University,Norfolk,VA,Virginia,Public,Southeast,,City: Midsize,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$45.000,$33.780,$15.164,$52.944,Merit,20,11%,$15.000,$36.254,$0.3m,N/A,$16.000,International Student Scholarships,https://www.odu.edu/admission/international/iss-scholarship,All F-1 and J-1 international students are automatically considered for a merit-based scholarship upon admission. No separate application is required.,$17.780,$36.944,Requires application,91%,93%,20%,-,,-,,92%,Early Action Only,,early_admission
Oregon State University,Corvallis,OR,Oregon,Public,West Coast,,City: Small,20K+,Coeducational,No,Professional,High,On-campus,0-None,$55.000,$38.190,$16.827,$59.017,Merit,,,,,,N/A,$12.000,International Year One Scholarship,https://admissions.oregonstate.edu/international/prices-scholarships/scholarships-international-students/undergraduate-scholarships,This appears to be for a specific pathway program. General international students are automatically considered for the Regional Award upon admission based on their country of residence.,$26.190,$47.017,Automatic consideration,79%,28%,20%,-,,-,,79%,Early Action Only,,early_admission
Pace University,New York,NY,New York,Private,Northeast (Mid-Atlantic),New York City,City: Large,10K - 20K,Coeducational,No,Professional,Majority,On-campus,0-None,$65.000,$53.290,$22.928,$80.218,Merit,369,77%,$19.666,$57.548,$7.3m,N/A,not specified,,,,,,,"77,1%","63,6%",9%,6%,2839,1806,112,"71,5%",Both,,early_admission
Pennsylvania State University-University Park,University Park,PA,Pennsylvania,Public,Northeast (Mid-Atlantic),,City: Small,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$55.000,$41.790,$13.448,$59.238,Merit,0,0%,$0,,$0.0m,N/A,$5.000,Provost Scholarship,https://admissions.psu.edu/costs-aid/scholarships/provost/,This is a multi-year scholarship for out-of-state and international students. A limited number of first-year students are invited to apply based on academic merit after being admitted to Penn State.,$36.790,$54.238,Automatic consideration,"54,2%","53,4%",19%,11%,10729,5726,652,"42,8%",Early Action Only,,early_admission
Pepperdine University,Malibu,CA,California,Private,West Coast,"Los Angeles, CA",Suburb: Large,5K - 10K,Coeducational,No,Balanced,Minority,On-campus,4-Moderately,$65.000,$69.918,$21.750,$95.668,Merit,141,47%,$28.705,$65.307,$4.0m,N/A,$36.000,Blanche E. Seaver Scholarship,https://seaver.pepperdine.edu/admission/financial-aid/undergraduate/types/university-private.htm,This scholarship is specifically for students who are members of Churches of Christ. Other Merit Scholarships are awarded automatically with the admission application.,$33.918,$59.668,Automatic consideration,50%,,12%,-,,-,-,50%,Both,,early_admission
Pitzer College,Claremont,CA,California,Private,West Coast,"Los Angeles, CA",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,0-None,$0,$65.188,$22.150,$91.338,Both,47,49%,$78.188,$9.878,$3.7m,Yes (Need-aware),$5.000,Trustee Scholarship,"https://www.pitzer.edu/grants-scholarships#:~:text=Merit%20Scholarships,-Trustee%20Scholarship%20Academic&text=This%20%245%2C000%20per%20year%20renewable,no%20separate%20application%20is%20needed.",All applicants for admission are automatically considered for this merit-based scholarship. No separate application is needed.,$60.188,$86.338,Automatic consideration,"16,7%","5,7%",48%,62%,905,52,32,"14,2%",Early Decision only,Yes,early_admission
Pomona College,Claremont,CA,California,Private,West Coast,"Los Angeles, CA",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,Off-campus,1-Historically,$0,$65.420,$21.394,$90.814,Need,86,40%,$73.927,$12.773,$6.4m,Yes (Need-aware),,,,,,,,7%,,50%,-,,-,-,"5,8%",Early Decision only,Yes,early_admission
Pratt Institute,Brooklyn,NY,New York,Private,Northeast (Mid-Atlantic),New York City,City: Large,5K - 10K,Coeducational,No,Professional,Majority,On-campus,0-None,$65.000,$61.915,$17.335,$83.250,Merit,606,54%,$19.331,$61.062,$11.7m,N/A,,,,,,TBD,-,"53,2%","53,2%",18%,18%,2333,1240,220,51%,Early Action Only,,early_admission
Princeton University,Princeton,NJ,New Jersey,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Small,5K - 10K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$0,$62.400,$20.250,$86.650,Need,514,75%,$78.606,$4.484,$40.4m,Yes (Need-blind),,,,,,,,"4,6%","2,4%",77%,80%,9439,229,183,3%,REarly Action Only,,early_admission
Principia College,Elsah,IL,Illinois,Private,Midwest (Great Lakes),,Rural: Fringe,<1K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,4-Moderately,$0,$34.680,$13.910,$52.590,Both,No data,No data,No data,No data,,Yes (Need-aware),$24.000,Chairman Scholarship,https://principiacollege.edu/admissions/scholarships,One of the top academic scholarships. Applicants are automatically considered based on their admission application. No separate application is required.,$10.680,$28.590,Automatic consideration,45%,32%,71%,-,,-,,45%,Early Action Only,,early_admission
Providence College,Providence,RI,Rhode Island,Private,Northeast (New England),,City: Midsize,1K - 9K,Coeducational,No,Balanced,Very High,Off-campus,4-Moderately,$5.000,$63.550,$17.840,$85.390,Both,58,91%,$80.368,$1.630,$4.7m,No,$37.000,Academic Tuition Scholarship,https://financial-aid.providence.edu/types-of-assistance/institutional-merit-based/,"The top scholarship is the Roddy Scholarship, which requires a separate application. Other Merit Scholarships are awarded automatically based on the admission application.",$26.550,$48.390,Automatic consideration,"48,7%","14,4%",20%,26%,432,62,16,"39,7%",Both,,early_admission
Purdue University-West Lafayette,West Lafayette,IN,Indiana,Public,Midwest (Great Lakes),,City: Small,20K+,Coeducational,No,Professional,High,On-campus,0-None,$45.000,$31.104,$12.820,$47.924,Merit,,,,$44.444,,N/A,,,,,,TBD,-,"50,3%","29,8%",25%,17%,13833,4120,717,38%,Early Action Only,,early_admission
Queens University of Charlotte,Charlotte,NC,North Carolina,Private,Southeast,,City: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,2-Slightly,$30.000,$45.846,$17.496,$67.342,Both,166,96%,$36.350,$26.928,$6.0m,No,not specified,,,,,,,"67,7%","44,2%",14%,20%,496,219,44,,Both,,early_admission
Quinnipiac University,Hamden,CT,Connecticut,Private,Northeast (New England),New York City,Suburb: Large,5K - 10K,Coeducational,No,Professional,High,On-campus,0-None,$25.000,$55.480,$17.260,$76.740,Merit,115,100%,$49.862,$23.698,$5.7m,N/A,not specified,International Student Scholarship,https://www.qu.edu/paying-for-college/browse-financial-aid/scholarships-grants/international-student-scholarship/,All international applicants are automatically considered for merit-based scholarships with their application for admission. No separate application is needed.,,,Automatic consideration,"77,0%","49,9%",11%,2%,2054,1024,23,"65,9%",Both,,early_admission
Ramapo College of New Jersey,Mahwah,NJ,New Jersey,Public,Northeast (Mid-Atlantic),New York City,Suburb: Large,5K - 10K,Coeducational,No,Balanced,Very High,On-campus,0-None,$25.000,$27.444,$14.572,$46.016,Merit,50,100%,$24.398,$21.824,$1.2m,N/A,$14.000,Merit Scholarships,https://www.ramapo.edu/undergraduate/international/,International students are automatically considered for merit-based scholarships upon admission. No separate application is needed.,$13.444,$32.016,Automatic consideration,"73,4%","44,8%",18%,4%,330,148,6,60%,Both,,early_admission
Randolph-Macon College,Ashland,VA,Virginia,Private,Southeast,,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$45.000,$49.466,$14.540,$68.006,Both,15,88%,$15.334,$51.298,$0.6m,No,$29.000,Presidential Scholars,https://www.rmc.edu/admissions-and-aid/tuition-and-aid/scholarships-and-grants/,A competitive scholarship program. Students are invited to apply after they are admitted to the college.,$20.466,$39.006,Automatic consideration,83%,"35,4%",20%,9%,65,23,2,74%,Both,,early_admission
Rensselaer Polytechnic Institute (RPI),Troy,NY,New York,Private,Northeast (Mid-Atlantic),,City: Small,5K - 10K,Coeducational,No,Professional,High,On-campus,0-None,$45.000,$64.081,$18.120,$86.201,Merit,83,16%,$45.001,$38.413,$3.6m,N/A,$40.000,Rensselaer Medal,https://admissions.rpi.edu/aid/scholarships-and-grants,An award for outstanding math and science students. Students must be nominated by their high school in their junior year. It is not an award students can apply for directly.,$24.081,$46.201,Automatic consideration,"58,5%","48,2%",17%,12%,1489,718,89,47%,Both,Yes,early_admission
Rhodes College,Memphis,TN,Tennessee,Private,Southeast,,City: Large,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$0,$57.110,$13.620,$74.730,Both,152,100%,$35.087,$36.715,$5.3m,Yes (Need-aware),$40.000,Cambridge Scholarship,https://www.rhodes.edu/admission-aid/cost-affordability/scholarships-fellowships,A premier scholarship. All applicants are considered; top candidates are invited to write an additional essay. Finalists are then selected from that group.,$17.110,$34.730,Automatic consideration,"49,2%","11,7%",24%,15%,1964,230,35,35%,Both,,early_admission
Rice University,Houston,TX,Texas,Private,South (Central),"Houston, TX",City: Large,5K - 10K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$0,$60.709,$18.100,$82.809,Both,135,24%,$70.452,$7.576,$9.5m,Yes (Need-aware),not specified,Distinguished Trustee Scholarship,https://financialaid.rice.edu/types-aid/merit-scholarships,All applicants for admission are automatically considered for all merit-based scholarships. No separate application is required.,,,Automatic consideration,"8,0%",4%,46%,-,,-,-,"7,0%",Early Decision only,Yes,early_admission
Rider University,Lawrenceville,NJ,New Jersey,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,1-Historically,$25.000,$41.120,$17.230,$62.350,Merit,91,92%,$44.304,,$4.0m,N/A,Full Tuition,Trustee Scholarship,https://www.rider.edu/tuition-aid/financial-aid/scholarships-grants/first-year/trustee-scholarship,The top merit-based scholarship. All first-year applicants are automatically considered based on their admission application. No separate application is required.,$0,$21.230,Requires application,79%,29%,11%,-,,-,,78%,Both,,early_admission
Ringling College of Art and Design,Sarasota,FL,Florida,Private,Southeast,,City: Small,1K - 9K,Coeducational,No,Professional,Exclusively,On-campus,0-None,$75.000,$57.900,$18.270,$80.170,Both,341,96%,$7.861,$69.469,$2.7m,,,,,,,,-,67%,80%,25%,-,,-,,70%,Early Action Only,,early_admission
Rochester Institute of Technology (RIT),Rochester,NY,New York,Private,Northeast (Mid-Atlantic),,Suburb: Large,10K - 20K,Coeducational,No,Professional,High,On-campus,0-None,$55.000,$59.274,$16.142,$79.416,Both,454,83%,$22.002,$54.530,$10.0m,No,$20.000,Merit Scholarship,https://www.rit.edu/admissions/aid/merit-based-scholarships,All applicants are automatically considered for Merit Scholarships based on the strength of their admission application. No separate application is required.,$39.274,$59.416,Automatic consideration,"71,1%","39,5%",17%,10%,2308,911,92,71%,Both,Yes,early_admission
Rollins College,Winter Park,FL,Florida,Private,Southeast,,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,$5.000,$60.580,$16.820,$81.400,Both,173,94%,$36.037,$42.453,$6.2m,No,Full ride,Alfond Scholars Program,https://www.rollins.edu/scholarships-aid/scholarships/academic/,"A premier, full-cost scholarship. Ten recipients are selected from the pool of admitted early Decision and Regular Decision applicants. No separate application is needed.",$0,$4.000,By invitation only,"40,6%","12,6%",9%,16%,2251,284,46,41%,Both,,early_admission
Rose-Hulman Institute of Technology,Terre Haute,IN,Indiana,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Professional,Very High,On-campus,0-None,$55.000,$56.049,$17.727,$77.776,Both,179,94%,$21.318,$54.574,$3.3m,No,$27.500,International Student Scholarship,https://www.rose-hulman.edu/admissions-and-aid/the-application-process/application-and-deadlines/international-student-scholarship-guide.html,All international applicants are automatically considered for Merit Scholarships and need-based grants with their admission application. The CSS Profile is required for need-based aid consideration.,$28.549,$50.276,Automatic consideration,73%,"65,2%",14%,10%,816,532,51,73%,Early Action Only,,early_admission
Russell Sage College,Troy,NY,New York,Private,Northeast (Mid-Atlantic),,City: Small,1K - 9K,Coeducational,No,Professional,Majority,Off-campus,1-Historically,$55.000,$36.756,$13.791,$54.547,Merit,,,,$54.547,,N/A,,,,,,TBD,-,75%,22%,15%,-,,-,,84%,Early Action Only,,early_admission
Rutgers University-Camden,Camden,NJ,New Jersey,Public,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Small,5K - 10K,Coeducational,No,Professional,High,On-campus,0-None,$45.000,$37.276,$14.376,$55.652,Merit,55,80%,$15.365,$37.865,$0.8m,N/A,$15.000,International Chancellor's Scholarship,https://admissions.rutgers.edu/international-chancellor-scholarship,All international students are automatically considered for this merit-based scholarship upon admission to Rutgers–Camden. No separate application is needed.,$22.276,$40.652,Automatic consideration,"77,8%","47,7%",6%,1%,1639,781,7,78%,Early Action Only,,early_admission
Rutgers University-New Brunswick,Piscataway,NJ,New Jersey,Public,Northeast (Mid-Atlantic),New York City,City: Small,20K+,Coeducational,No,Balanced,High,On-campus,1-Historically,$45.000,$37.441,$15.714,$57.155,Merit,289,12%,$17.931,$36.785,$5.2m,N/A,$16.000,International Student Scholarship,https://honorscollege.rutgers.edu/scholarships,"The provided link is for the Honors College. Rutgers does not offer broad Merit Scholarships to international students, but some may be available to those admitted to specific programs like the Honors College.",$21.441,$41.155,Automatic consideration,"65,3%","70,7%",27%,16%,4730,3345,531,65%,Early Action Only,,early_admission
Rutgers University-Newark,Newark,NJ,New Jersey,Public,Northeast (Mid-Atlantic),New York City,City: Large,10K - 20K,Coeducational,No,Professional,High,On-campus,0-None,$55.000,$36.762,$16.074,$56.836,Merit,31,22%,$7.467,$46.941,$0.2m,N/A,,,,,,TBD,-,"78,7%","70,1%",10%,2%,2211,1550,29,79%,Early Action Only,,early_admission
Sacred Heart University,Fairfield,CT,Connecticut,Private,Northeast (New England),New York City,Suburb: Large,10K - 20K,Coeducational,No,Professional,High,On-campus,3-Somewhat,$55.000,$50.404,$19.140,$73.544,Merit,68,89%,$32.345,,$2.2m,N/A,$20.000,President's Excellence Scholarship,https://www.sacredheart.edu/admissions--aid/financial-assistance/full-time-undergraduates/scholarships--grants/university-scholarships--grants/,The top Merit Scholarship awarded to a select group of applicants. All students are automatically considered upon admission. No separate application is needed.,$30.404,$53.544,Automatic consideration,68%,61%,20%,-,,-,,36%,Both,,early_admission
Saint Anselm College,Manchester,NH,New Hampshire,Private,Northeast (New England),"Boston, MA",Suburb: Midsize,1K - 9K,Coeducational,No,Balanced,Exclusively,On-campus,3-Somewhat,$20.000,$48.920,$17.020,$69.940,Both,15,100%,$50.459,$16.871,$0.8m,No,$30.000,Presidential Scholarship,https://www.anselm.edu/admission-aid/tuition-financial-aid/types-aid/scholarships-and-grants,The premier Merit Scholarship offered. All applicants are automatically considered based on their admission application.,$18.920,$39.940,Unclear,78%,10%,18%,-,,-,,63%,Both,,early_admission
Saint John's University MN,Collegeville,MN,Minnesota,Private,Midwest (Great Plains),,Rural: Fringe,1K - 9K,Men's,No,Arts and Sciences,Very High,On-campus,3-Somewhat,$30.000,$55.816,$12.430,$72.246,Both,49,100%,$40.452,$29.620,$2.0m,No,,,,,,TBD,-,80%,,25%,-,,-,,80%,Early Action Only,,early_admission
Saint Joseph's University,Philadelphia,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Large,5K - 10K,Coeducational,No,Professional,High,Off-campus,3-Somewhat,$25.000,$53.260,$16.240,$73.500,Merit,87,92%,$40.470,$30.610,$3.5m,N/A,Full Tuition,John P. McNulty Scholarship for Leadership in Science & M,https://www.sju.edu/scholarships,"A program for female students in STEM fields that requires a separate application. The top general merit award is the Presidential Scholarship, which is awarded automatically upon admission.",$0,$20.240,Requires application,"86,4%","41,5%",16%,18%,289,120,21,"77,0%",Both,,early_admission
Saint Louis University,St. Louis,MO,Missouri,Private,Midwest (Great Plains),,City: Large,10K - 20K,Coeducational,No,Professional,Majority,On-campus,3-Somewhat,$20.000,$55.760,$15.280,$75.040,Both,No data,No data,No data,,,No,Full Tuition,Presidential Scholarship,https://www.slu.edu/financial-aid/types-of-aid/scholarships.php,"SLU's most prestigious scholarship. A separate application is required after admission, and finalists are invited to campus for an interview.",$0,$19.280,Requires application,81%,52%,14%,-,,-,,81%,Both,,early_admission
Saint Mary's College of California,Moraga,CA,California,Private,West Coast,SF/Silicon Valley,Suburb: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$30.000,$57.803,$17.600,$79.403,Both,64,100%,$51.482,$25.552,$3.3m,No,,,,,,TBD,-,"88,7%","71,4%",13%,4%,518,370,16,88%,Early Action Only,,early_admission
Saint Michael's College,Colchester,VT,,Private,Northeast (New England),,Suburb: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,3-Somewhat,$45.000,$51.450,$17.070,$72.520,Merit,45,98%,$38.666,,$1.7m,N/A,$30.000,International Student Scholarship,https://www.smcvt.edu/admission-aid/applysmc/international-scholarships/,All admitted international students are automatically considered for merit-based scholarships and need-based grants. The CSS Profile is recommended for need-based aid.,$21.450,$42.520,Automatic consideration,92%,54%,13%,-,,-,,84%,Early Action Only,,early_admission
Salve Regina University,Newport,RI,Rhode Island,Private,Northeast (New England),,Suburb: Large,1K - 9K,Coeducational,No,Professional,High,Off-campus,3-Somewhat,$45.000,$50.100,$18.550,$72.650,Both,59,96%,$33.489,$35.941,$2.0m,,,,,,,,-,70%,72%,14%,-,,-,,53%,Both,,early_admission
Santa Clara University,Santa Clara,CA,California,Private,West Coast,SF/Silicon Valley,City: Midsize,5K - 10K,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,$5.000,$61.293,$19.893,$85.186,Merit,54,11%,$46.872,$35.353,$2.4m,N/A,Full ride+stipend,Johnson Scholars Program,https://www.scu.edu/financialaid/types-of-aid/scholarships-and-grants/merit-scholarships/,"A comprehensive scholarship for students with the highest academic achievement, leadership, and service. Consideration is automatic for all first-year applicants; finalists are invited to interview.",$0,$3.000,Automatic consideration,"47,0%","28,6%",19%,2%,2365,677,11,25%,Both,Yes,early_admission
Sarah Lawrence College,Bronxville,NY,New York,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,High,On-campus,0-None,$65.000,$66.862,$18.426,$89.288,Both,43,57%,$23.203,$62.021,,No,,,,,,TBD,-,"58,9%","32,4%",14%,13%,620,201,27,"52,9%",Both,,early_admission
Scripps College,Claremont,CA,California,Private,West Coast,"Los Angeles, CA",Suburb: Large,1K - 9K,Women's,No,Arts and Sciences,Very High,On-campus,0-None,$0,$65.950,$22.136,$92.086,Both,14,33%,$54.325,$34.107,$0.8m,Yes (Need-aware),$30.000,James E. Scripps Scholarship,https://www.scrippscollege.edu/admission/apply/first-year-applicants,All applicants are automatically considered for merit-based scholarships. No separate application is required.,$35.950,$62.086,Automatic consideration,"33,9%","18,3%",26%,33%,367,67,22,"32,7%",Early Decision only,Yes,early_admission
Seattle University,Seattle,WA,Washington,Private,West Coast,"Seattle, WA",City: Large,5K - 10K,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,$45.000,$56.721,$15.702,$76.423,Both,283,76%,$27.169,$45.864,$7.7m,No,$30.000,Merit Scholarship,https://www.seattleu.edu/undergraduate-admissions/finances/scholarships/firstyear/,"All first-year applicants, including international students, are automatically considered for Merit Scholarships upon admission.",$26.721,$46.423,Automatic consideration,75%,36%,15%,-,,-,,69%,Early Action Only,,early_admission
Seton Hall University,South Orange,NJ,New Jersey,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,5K - 10K,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,$55.000,$53.170,$17.970,$75.140,Both,No data,No data,No data,,,No,$20.000,University Scholarship,https://www.shu.edu/undergraduate-admissions/scholarships.html,The top Merit Scholarship awarded. All students are automatically considered based on the strength of their admission application. No separate application is needed.,$33.170,$55.140,Automatic consideration,79%,78%,8%,-,,-,,79%,Early Action Only,,early_admission
Sewanee - The University of the South,Sewanee,TN,Tennessee,Private,Southeast,,Rural: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,4-Moderately,$0,$56.120,$16.028,$76.148,Both,71,99%,$60.411,$12.631,$4.3m,Yes (Need-aware),Full ride,Vice-Chancellor's and Benedict Scholarship,https://new.sewanee.edu/admission-aid/cost-financial-aid/scholarships/,These are premier Merit Scholarships. All applicants for admission are automatically considered. Top candidates may be invited for an interview.,$0,$4.000,Automatic consideration,"50,9%","2,6%",18%,30%,1547,40,12,25%,Both,Yes,early_admission
Siena College,Loudonville,NY,New York,Private,Northeast (Mid-Atlantic),,Suburb: Large,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,3-Somewhat,$75.000,$45.805,$17.085,$66.890,Both,No data,No data,No data,,,No,not specified,Presidential Scholarship,https://www.siena.edu/afford/scholarships/,The premier merit-based scholarship. All first-year applicants are automatically considered based on their admission application. No separate application is required.,,,Automatic consideration,"70,6%","57,4%",13%,6%,734,421,24,71%,Both,,early_admission
Simmons University,Boston,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Large,5K - 10K,Women's,No,Balanced,Minority,On-campus,0-None,$5.000,$46.874,$17.618,$68.492,Merit,73,96%,$26.757,$39.885,$2.0m,N/A,Full ride,Distinguished Scholar Award,https://www.simmons.edu/undergraduate/admission-and-financial-aid/tuition-financial-aid/types-financial-aid/scholarships/distinguished-scholar,"A competitive, full-tuition scholarship. Requires a separate application, essay, and interview for finalists.",$0,$4.000,Requires application,66%,29%,11%,-,,-,,56%,Early Action Only,,early_admission
Skidmore College,Saratoga Spring,NY,New York,Private,Northeast (Mid-Atlantic),,Suburb: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,0-None,$0,$67.140,$17.940,$89.080,Limited,102,43%,$72.426,$13.794,$7.4m,Yes (Need-aware),$20.000,STEM subjects,https://www.skidmore.edu/financialaid/freshmen_faq.php,The link indicates Skidmore offers the Porter/Wachenheim Presidential Scholarship in Science and Mathematics. No separate application is required; recipients are chosen from the applicant pool.,$47.140,$69.080,Requires application,23%,,27%,-,,-,-,"21,2%",Early Decision only,Yes,early_admission
Smith College,Northampton,MA,Massachusetts,Private,Northeast (New England),,City: Small,1K - 9K,Women's,No,Arts and Sciences,High,On-campus,1-Historically,$0,$65.178,$22.570,$91.748,Merit,140,43%,$79.023,$7.855,$11.1m,Yes (Need-aware),$22.500,Stride Scholarship,https://www.smith.edu/academics/applied-learning-research/stride-program,A program for students with strong academic records. Requires a separate application. Scholars receive a stipend and work as paid research assistants to a faculty member for two years.,$42.678,$69.248,Requires application,"19,7%","5,3%",33%,53%,3164,168,89,"18,4%",Early Decision only,Yes,early_admission
Soka University of America,Aliso Viejo,CA,California,Private,West Coast,"Los Angeles, CA",Suburb: Large,<1K,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,$0,$38.728,$14.378,$57.106,Both,248,99%,$51.377,$3.965,$12.7m,Yes (Need-aware),Full ride+stipend,Global Merit Scholarship,https://catalog.soka.edu/types-of-financial-aid,All admitted students are automatically considered for this merit-based scholarship. No separate application is required.,$0,$0,Automatic consideration,"69,5%","63,4%",46%,69%,161,102,70,74%,Early Action Only,,early_admission
Southern Methodist University,Dallas,TX,Texas,Private,South (Central),"Dallas, TX",Suburb: Large,10K - 20K,Coeducational,No,Balanced,Majority,Off-campus,2-Slightly,$25.000,$67.038,$19.064,$90.102,Merit,165,64%,$43.760,$42.930,$7.2m,N/A,Full Tuition,President Scholarship,https://www.smu.edu/Provost/saes/academic-enrichment/honors-and-scholars-programs/presidents-scholars/scholarship-information/application,"The most prestigious academic scholarship at SMU. Requires a separate application, essays, and recommendations. Finalists are invited for an on-campus interview.",$0,$23.064,Requires application,"61,2%","38,9%",17%,14%,898,349,48,"38,0%",Both,Yes,early_admission
Southern New Hampshire University,Manchester,NH,New Hampshire,Private,Northeast (New England),"Boston, MA",Suburb: Midsize,20K+,Coeducational,No,Professional,High,Off-campus,0-None,$20.000,$17.200,$12.800,$34.000,Merit,41,39%,$14.855,$18.395,$0.6m,N/A,,,,,,,-,87%,,14%,-,,-,,87%,Early Action Only,,early_admission
Southwestern University,Georgetown,TX,Texas,Private,South (Central),"Austin, TX",City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$45.000,$53.613,$16.230,$73.843,Merit,28,100%,$31.967,$36.519,$0.9m,N/A,,,,,,TBD,-,"39,1%","5,0%",16%,11%,1613,81,9,"29,7%",Both,,early_admission
Spelman College,Atlanta,GA,Georgia,Private,Southeast (Deep South),,City: Large,1K - 9K,Women's,Yes,Arts and Sciences,Exclusively,On-campus,1-Historically,$5.000,$31.556,$18.091,$53.647,Both,13,93%,$32.665,$17.686,$0.4m,No,Full ride,Presidential and Dovey Johnson Roundtree Scholarship,https://www.spelman.edu/admissions/financial-aid/scholarships,"These are highly competitive, premier scholarships. Students are selected from the top of the applicant pool. No separate application is required; consideration is automatic with the admission application.",$0,$4.000,Automatic consideration,"34,1%","25,3%",20%,9%,221,56,5,"16,3%",Both,,early_admission
