;;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;App Fees²;App Fees²;Common App;Common App;Supplements;Supplements;Minimum Standard Test Policy⁷;Minimum Standard Test Policy⁷;Minimum Standard Test Policy⁷;Recommendations⁸;Recommendations⁸;Recommendations⁸;Recommendations⁸;Recommendations⁸
Loyola Marymount University;Coed;11/1/2024;1/8/2025;11/1/2024;;;2025-01-15;75;75;Yes;Yes;;;N;See Website;;1;;;Y;
Loyola University Chicago;Coed;;;;;;2024-12-01;0;0;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;Y;Y
Loyola University Maryland;Coed;11/15/2024;1/15/2025;11/15/2024;;;2025-01-15;60;60;Yes;;;;N;SAT without Essay or ACT without Essay;I or T;1;;;Y;Y
Loyola University New Orleans;Coed;;;11/15/2024;;;Rolling;0;0;;;;;F;See Website;See Website;;;;;
Lycoming College;Coed;11/15/2024;;12/1/2024;;;Rolling;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;;1;;;;
Lynn University;Coed;11/1/2024;;11/15/2024;1/15/2025;;2025-03-01;0;0;;;;;S;SAT without Essay or ACT without Essay;C or D or I or T;;;Y;;Y
Lyon College;Coed;;;11/15/2024;;;2025-04-01;0;0;;;;;N;None;;;;;;
Macalester College;Coed;11/1/2024;1/1/2025;11/1/2024;;;2025-01-15;0;0;Yes;;COL;;N;None;See Website;1;;Y;Y;
Madonna University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Maine College of Art & Design;Coed;;;12/1/2024;;;2025-03-01;70;70;Yes;;SR;;N;None;See Website;;;;;Y
Maine Maritime Academy;Coed;;;11/30/2024;;;2025-03-01;50;50;Yes;;;;F;See Website;I or T;;;Y;Y;Y
Malone University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Manchester University;Coed;;;;;;Rolling;0;0;;;;;N;See Website;;;;;;Y
Manhattan University;Coed;11/15/2024;;;;;Rolling;75;75;Yes;;;;N;SAT without Essay or ACT without Essay;;1;;;;Y
Manhattanville University;Coed;;;11/17/2024;;;Rolling;75;75;Yes;;;;F;See Website;;1;;Y;Y;Y
Manor College;Coed;;;;;;2025-07-30;0;0;;Yes;;;S;See Website;See Website;;;;;Y
Marian University - Indiana;Coed;;;;;;Rolling;0;0;;;;;I;None;;;;;;Y
Marian University - Wisconsin;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Marietta College;Coed;;;;;;Rolling;0;0;Yes;;;;N;None;See Website;;;;Y;
Marist College;Coed;11/15/2024;2/15/2025;11/15/2024;;;2025-02-15;50;50;Yes;;SR;;N;See Website;See Website;;;Y;Y;
Marquette University;Coed;;;11/15/2024;;;2025-02-01;0;0;Yes;;;Yes;N;SAT without Essay or ACT without Essay;See Website;;;;;Y
Marshall University;Coed;;;;;;Rolling;40;150;;;;;F;SAT without Essay or ACT without Essay;See Website;;;;;Y
Mary Baldwin University;Coed;;;;;;Rolling;0;0;;;;;S;None;;;;;;
Mary Immaculate College;Coed;;;;;;Rolling;0;0;Yes;;;;A;SAT without Essay or ACT without Essay;I or T;;;Y;;
Maryland Institute College of Art;Coed;;;12/1/2024;;;2025-02-01;60;60;Yes;;;;N;None;See Website;;;;;Y
Marymount Manhattan College;Coed;11/1/2024;;12/1/2024;;;2025-07-29;0;0;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;Y;Y
Marymount University;Coed;;;;;;Rolling;0;0;;;;;S;See Website;I or T or P;;;;;
Maryville University of St. Louis;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
Marywood University;Coed;;;;;;Rolling;0;50;;;;;N;See Website;;;;;;Y
Massachusetts College of Art and Design;Coed;;;12/1/2024;;;2025-02-15;70;70;Yes;;COL;;N;None;See Website;1;;;;Y
Massachusetts College of Liberal Arts;Coed;;;12/1/2024;;;2025-03-01;0;0;Yes;;;;I;None;See Website;1;;;Y;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Massachusetts College of Pharmacy and Health Sciences;Coed;;;11/1/2024;12/1/2024;;2025-02-01;0;0;Yes;;;;S;See Website;See Website;1;;Y;Y;Y
Massachusetts Maritime Academy;Coed;;;11/1/2024;;;2025-02-15;50;50;Yes;;;;N;None;See Website;;;;Y;Y
McDaniel College;Coed;11/1/2024;;11/15/2024;12/15/2024;;2025-02-01;0;0;;;;;S;See Website;;;;;;
McKendree University;Coed;;;;;;Rolling;0;0;;Yes;;;N;None;;;;;;Y
McMurry University;Coed;;;;;;Rolling;0;30;;;;;N;None;;;;;;
McPherson College;Coed;;;;;;Rolling;0;0;;;;;F;SAT without Essay or ACT without Essay;;;;;;
Menlo College;Coed;;;11/15/2024;;;2025-03-15;0;0;;;;;N;None;;;;;;
Mercer University;Coed;;;11/1/2024;;;2025-02-01;50;50;Yes;;;;S;None;;;;;Y;Y
Mercy University;Coed;;;;;;Rolling;40;40;;;;;S;SAT with Essay or ACT with Essay;See Website;;;;;Y
Mercyhurst University;Coed;;;;;;Rolling;0;0;;;;;N;None;;1;;;;Y
Meredith College;Women;10/30/2024;;12/2/2024;;;2025-02-18;40;40;Yes;;;;N;None;See Website;;;;Y;Y
Merrimack College;Coed;11/15/2024;1/15/2025;11/15/2024;1/15/2025;;2025-02-15;0;0;;;;;I;None;See Website;;;;;Y
Messiah University;Coed;;;;;;Rolling;50;50;;;;;S;See Website;See Website;;;;;Y
Methodist University;Coed;;;;;;Rolling;0;0;;Yes;;;N;None;;;;;;
Metropolitan State University of Denver (MSU Denver);Coed;;;;;;Rolling;0;0;;;;Yes;N;None;See Website;;;;;Y
Miami Dade College;Coed;;;;;;Rolling;30;50;;;;;N;None;I or T or P;;;;;
Miami University (Ohio);Coed;11/1/2024;;11/1/2024;12/1/2024;;2025-02-01;50;70;Yes;;;;N;None;See Website;;;;;Y
Michigan State University;Coed;;;11/1/2024;;;2025-04-01;65;75;Yes;;;;F;See Website;See Website;;;;;Y
Michigan Technological University;Coed;;;;;;2025-04-30;0;35;;;;;S;See Website;See Website;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Middle Tennessee State University;Coed;;;;;;Rolling;25;30;;;;;A;SAT without Essay or ACT without Essay;;;;;;Y
Middlebury College;Coed;11/1/2024;1/3/2025;;;;2025-01-03;70;70;Yes;;SR;;N;None;See Website;2;;Y;Y;Y
Midway University;Coed;;;;;;Rolling;30;30;;;;;N;See Website;See Website;;;;;Y
Millersville University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Milligan University;Coed;;;;;;Rolling;30;30;;Yes;;;F;See Website;I or T;;;;;Y
Millikin University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Millsaps College;Coed;;;11/15/2024;;;2025-04-01;0;0;;;;;F;None;;;;;;
Milwaukee School of Engineering;Coed;;;;;;Rolling;0;0;;;;;N;None;I or T or P;;;;;
Minerva University;Coed;;;11/1/2024;;;2025-01-03;0;0;;;;;N;None;See Website;;;;;
Misericordia University;Coed;;;;;;Rolling;0;0;;;;;N;SAT without Essay or ACT without Essay;T;;;;;Y
Mississippi College;Coed;;;;;;Rolling;40;50;;;;;A;See Website;See Website;;;;;
Mississippi State University;Coed;;;;;;Rolling;40;60;;;;;F;SAT without Essay or ACT without Essay;See Website;;;;;
Missouri State University;Coed;;;;;;Rolling;0;40;;;;;S;See Website;See Website;;;;;
Missouri University of Science and Technology;Coed;;;;;;Rolling;0;0;;;;;F;SAT without Essay or ACT without Essay;I or T or P;;;;;Y
Mitchell College;Coed;;;11/15/2024;1/15/2025;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
Molloy University;Coed;;;12/1/2024;;;Rolling;45;45;Yes;;;;N;None;;;;;;Y
Monmouth College (IL);Coed;;;11/15/2024;12/15/2024;;2025-04-01;0;0;;;;;S;SAT without Essay or ACT without Essay;;;;;;Y
Monmouth University;Coed;11/15/2024;;12/1/2024;;;2025-03-01;60;60;Yes;;;Yes;N;See Website;;1;;;;Y
Montana State University;Coed;;;;;;Rolling;38;38;;;;;N;None;See Website;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Montclair State University;Coed;;;12/1/2024;;;Rolling;65;65;;;;;N;See Website;See Website;;;Y;;Y
Montreat College;Coed;;;;;;Rolling;15;15;;Yes;;;F;None;;;;;;
Montserrat College of Art;Coed;;;12/1/2024;;;Rolling;50;50;Yes;;;;S;None;See Website;1;;;;Y
Morehead State University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Morgan State University;Coed;;;12/1/2024;;;2025-04-01;35;35;;;;;F;See Website;;;;;;
Morningside University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;Y
Morris Brown College;Coed;;;;;;Rolling;30;30;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;2;;;Y;
Mount Holyoke College;Women;11/15/2024;1/3/2025;;;;2025-01-15;0;0;Yes;;SR;Yes;N;See Website;See Website;2;;Y;Y;Y
Mount Marty University;Coed;;;;;;2025-07-29;0;0;Yes;;;;N;None;D;;;;;
Mount Mary University;Women;;;;;;Rolling;0;0;;;;;F;SAT without Essay or ACT without Essay;See Website;;;;;Y
Mount Saint Mary College;Coed;;;;;;Rolling;0;45;;;;;N;None;See Website;;;;;Y
Mount Saint Mary's University Los Angeles;Women;;;12/1/2024;;;Rolling;0;0;Yes;;;;N;See Website;;;;;;Y
Mount St. Joseph University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Mount St. Mary's University;Coed;;;11/1/2024;12/1/2024;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;
Mount Vernon Nazarene University;Coed;;;;;;2025-07-30;25;25;;;;;N;None;See Website;;;;;
Muhlenberg College;Coed;11/15/2024;2/1/2025;12/1/2024;;;2025-02-01;50;50;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;1;;Y;Y;
Muskingum University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;Y
Naropa University;Coed;;;;;;Rolling;25;25;;;;;N;SAT with Essay or ACT with Essay;See Website;;;;;Y
National Louis University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Nazareth University;Coed;11/1/2024;;12/1/2024;;;2025-02-01;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;Y
Nebraska Wesleyan University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Neumann University;Coed;;;12/1/2024;;;Rolling;0;0;;;;;N;None;See Website;;;;;
New College of Florida;Coed;;;11/1/2024;2/1/2025;;2025-04-01;0;0;Yes;;;;A;See Website;I or T;;;;;Y
New England College;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;Y;Y;
New England Institute of Technology;Coed;;;;;;Rolling;0;0;;;;;N;See Website;I or T;;;Y;;Y
New Jersey City University;Coed;;;;;;Rolling;50;50;;;;;N;None;See Website;;;;;
New Jersey Institute of Technology;Coed;;;11/15/2024;12/15/2024;;Rolling;75;75;Yes;;SR;;S;SAT without Essay or ACT without Essay;;1;;Y;Y;Y
New Mexico Institute of Mining and Technology;Coed;;;;;;2025-07-29;0;0;;;;;S;SAT without Essay and 2 SAT Subject Tests or ACT;I or T;;;;;
New York Institute of Technology (NYIT);Coed;;;;;;Rolling;50;50;Yes;;COL;Yes;S;SAT without Essay or ACT without Essay;See Website;1;;;;Y
New York School of Career & Applied Studies of Touro College & University;Coed;;;;;;2025-07-24;0;0;;;;;N;None;I or T or P;;;;;
New York University;Coed;11/1/2024;1/1/2025;;;;2025-01-05;85;85;Yes;;SR;;N;See Website;See Website;;;;;Y
Newberry College;Coed;;;;;;Rolling;0;0;;Yes;;;N;SAT without Essay or ACT without Essay;I or T;;;;;
Newman University;Coed;;;11/1/2024;12/1/2024;;Rolling;0;25;;;;;F;None;See Website;;;;;
Niagara University;Coed;;;;;;Rolling;0;0;Yes;;;;N;None;;;;;Y;
Nichols College;Coed;;;;;;Rolling;0;0;Yes;;;;F;None;;1;;;;Y
Norfolk State University;Coed;;;11/1/2024;;;2025-03-15;25;25;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;Y
North American University;Coed;;;;;;2025-07-28;0;50;;Yes;;;S;SAT without Essay or ACT without Essay;;;;;;
North Carolina A&T State University;Coed;;;11/1/2024;;;2/1/2025;60;60;;;;;F;SAT with Essay or ACT with Essay;C or D or I or T;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
North Carolina Central University;Coed;;;11/15/2024;12/15/2024;;Rolling;50;50;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
North Carolina State University;Coed;;;11/1/2024;;;2025-01-15;85;100;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;Y;;
North Carolina Wesleyan University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
North Central College;Coed;;;;;;Rolling;0;0;;;;;N;SAT without Essay or ACT without Essay;;;;;;Y
North Park University;Coed;;;;;;Rolling;0;0;;;;Yes;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Northeastern Illinois University;Coed;;;;;;2025-07-15;0;0;;;;;S;None;C or D or I or T;;;;;
Northeastern University;Coed;11/1/2024;1/1/2025;11/1/2024;;;2025-01-01;75;75;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;1;;Y;Y;Y
Northern Illinois University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
Northern Kentucky University;Coed;;;;;;2025-07-28;0;40;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;
Northern Michigan University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Northland College;Coed;;;;;;Rolling;0;0;;;;;N;See Website;See Website;;;;;
Northwest Nazarene University;Coed;;;11/15/2024;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;;;;;;Y
Northwest University;Coed;;;;;;Rolling;0;30;;;;;N;None;See Website;;;;;
Northwestern University;Coed;11/1/2024;;;;;2025-01-02;75;75;;;;;F;See Website;See Website;1;;Y;Y;
Northwestern University in Qatar;Coed;;;11/1/2024;;;2025-01-15;75;75;;;;;F;See Website;;1;;Y;Y;
Northwood University;Coed;;;;;;Rolling;0;30;;;;;F;SAT without Essay or ACT without Essay;I or T;;;;;
Notre Dame of Maryland University;Coed;;;11/1/2024;12/1/2024;;Rolling;0;0;;Yes;;;S;SAT without Essay or ACT without Essay;See Website;1;;;Y;Y
Nova Southeastern University;Coed;11/1/2024;;11/1/2024;;;2025-02-01;50;50;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Oakland University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Oberlin College of Arts and Sciences;Coed;11/15/2024;1/2/2025;;;;2025-01-15;0;0;Yes;;COL;;N;See Website;See Website;1;;Y;Y;
Oberlin Conservatory of Music;Coed;;;;;;2024-12-01;100;100;Yes;;;;N;None;See Website;;;;Y;
Occidental College;Coed;11/15/2024;1/10/2025;;;;2025-01-10;70;0;Yes;;SR;;N;None;;1;;Y;Y;
Oglethorpe University;Coed;;;12/1/2024;;;2025-07-29;50;50;Yes;;COL;;N;SAT without Essay or ACT without Essay;See Website;;;;;Y
Ohio Dominican University;Coed;;;;;;Rolling;0;0;;;;;F;None;See Website;1;;;;
Ohio Northern University;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;
Ohio University;Coed;;;11/15/2024;;;Rolling;50;70;;;;Yes;N;None;See Website;;;;;Y
Ohio Wesleyan University;Coed;11/15/2024;;12/1/2024;;;2025-03-01;0;0;Yes;;;;N;See Website;;;;;;Y
Oklahoma Baptist University;Coed;;;;;;Rolling;0;0;;Yes;;;F;See Website;;;;;;
Oklahoma City University;Coed;;;;;;Rolling;55;60;Yes;;;;S;SAT without Essay or ACT without Essay;;;;;Y;Y
Oklahoma State University;Coed;;;;;;Rolling;50;90;;;;;S;See Website;I or T or P;;;;;
Old Dominion University;Coed;;;12/1/2024;;;2025-02-15;50;50;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Ole Miss - The University of Mississippi;Coed;;;;;;Rolling;75;75;;;;;S;SAT without Essay or ACT without Essay;C or D or I or T;;;;;
Oral Roberts University;Coed;;;11/1/2024;;;2025-02-01;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Oregon State University;Coed;;;11/1/2024;2/3/2025;;Rolling;65;65;Yes;;;;N;None;See Website;;;;;
Oregon Tech;Coed;;;11/1/2024;;;2025-03-01;50;50;;Yes;;;N;None;See Website;;;;;
Otis College of Art and Design;Coed;;;12/1/2024;;;Rolling;50;50;Yes;;;;N;SAT with Essay or ACT with Essay;See Website;;;;;Y
Otterbein University;Coed;;;12/15/2024;;;Rolling;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;;;;;;Y
Pace University;Coed;11/1/2024;;11/15/2024;12/1/2024;;2025-02-15;0;50;Yes;;;;N;SAT without Essay or ACT without Essay;;1;;;Y;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Pacific Lutheran University;Coed;;;;;;Rolling;0;0;Yes;;;;N;None;See Website;;;;;
Pacific Northwest College of Art;Coed;;;11/15/2024;;;2025-02-01;0;0;Yes;;;;N;None;See Website;;;;;
Pacific University Oregon;Coed;;;11/1/2024;1/15/2025;;Rolling;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Paine College;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Palm Beach Atlantic University;Coed;;;;;;Rolling;0;0;;;;;F;None;;;;;;Y
Park University;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;
Paul Smith's College;Coed;;;11/13/2024;;;2025-03-12;0;0;;;;;N;SAT with Essay or ACT with Essay;See Website;;;;;
Penn State;Coed;;;11/1/2024;;;Rolling;65;75;;;;;N;See Website;See Website;;;;;Y
Pennsylvania College of Art & Design;Coed;;;;;;Rolling;0;0;Yes;;COL;;I;None;;;;;;
Pennsylvania College of Technology;Coed;;;;;;Rolling;0;0;;;;;N;SAT with Essay or ACT with Essay;I or T;;;;;Y
Pennsylvania Western University;Coed;;;;;;Rolling;35;35;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Pepperdine University;Coed;;;11/3/2024;;;2025-01-15;70;70;Yes;;;;S;See Website;I or T;1;;;;
Pfeiffer University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Piedmont University;Coed;;;;;;2025-07-17;25;30;;;;;F;None;See Website;;;;;Y
Pitzer College;Coed;11/15/2024;1/6/2025;;;;2025-01-06;70;70;Yes;Yes;;;I;None;See Website;1;;Y;;Y
Plymouth State University;Coed;;;;;;Rolling;50;50;Yes;;;;S;See Website;See Website;;;;;Y
Point Loma Nazarene University;Coed;;;11/15/2024;;;2025-02-15;55;55;Yes;;;;N;See Website;See Website;1;;Y;;Y
Point Park University;Coed;;;;;;Rolling;0;0;;;;Yes;F;None;;;;;;
Pomona College;Coed;11/8/2024;1/8/2025;;;;2025-01-08;80;80;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;2;;Y;Y;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Portland State University;Coed;;;;;;2025-07-31;60;60;;;;;N;See Website;See Website;;;;;Y
Pratt Institute;Coed;;;11/15/2024;;;2025-01-15;50;90;;;SR;;S;See Website;See Website;;;Y;;
Presbyterian College;Coed;;;12/1/2024;;;2025-02-01;0;0;;;;Yes;N;None;;;;;;
Prescott College;Coed;;;;;;Rolling;0;0;;Yes;;Yes;N;None;I or T;;;;;Y
Princeton University;Coed;;;;;11/1/2024;2025-01-01;70;70;Yes;;COL;;N;See Website;See Website;2;;Y;Y;Y
Principia College;Coed;11/1/2024;;12/2/2024;1/6/2025;;2025-03-03;0;75;;;;;F;See Website;I or T;;;Y;;Y
Providence College;Coed;11/1/2024;1/15/2025;11/1/2024;;;2025-01-15;65;65;Yes;;SR;;N;SAT without Essay or ACT without Essay;See Website;;;Y;Y;
Purchase College, SUNY;Coed;;;11/15/2024;;;Rolling;50;50;Yes;;;;S;See Website;;1;;;Y;Y
Purdue University;Coed;;;11/1/2024;;;2025-01-15;60;60;Yes;Yes;;;F;See Website;See Website;;;;;Y
Purdue University Fort Wayne;Coed;;;;;;Rolling;30;30;;;;;N;None;See Website;;;;;Y
Purdue University Northwest;Coed;;;;;;Rolling;25;25;;;;;F;See Website;;;;;;
Queen's University, Canada;Coed;;;;;;Rolling;100;100;;;;;S;See Website;See Website;;;Y;;
Queens University of Charlotte;Coed;11/15/2024;;11/15/2024;1/15/2025;;2025-03-14;0;0;;;;;N;None;See Website;;;;;Y
Quincy University;Coed;;;;;;Rolling;0;0;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;
Quinnipiac University;Coed;11/1/2024;;11/15/2024;;;2025-02-01;65;65;Yes;;;;S;SAT without Essay or ACT without Essay;C or D or I or T;;;;;
Radford University;Coed;;;11/1/2024;;;2025-03-01;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Ramapo College of New Jersey;Coed;11/1/2024;;12/15/2024;;;2025-02-01;65;65;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;1;;;;Y
Randolph College;Coed;;;11/15/2024;;;2025-03-01;0;0;;;COL;;S;SAT without Essay or ACT without Essay;;;;;;Y
Randolph-Macon College;Coed;11/15/2024;;10/17/2024;12/10/2024;;2025-03-01;0;0;Yes;;;;N;See Website;See Website;;;Y;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Reed College;Coed;11/15/2024;12/20/2024;11/15/2024;;;2025-02-01;0;0;Yes;;;Yes;N;None;See Website;2;;Y;Y;Y
Regent University;Coed;;;;;;2025-05-01;0;0;;;;;F;See Website;See Website;;;;;
Regis College;Coed;;;11/15/2024;;;2025-02-01;0;0;Yes;;;;I;None;;;;Y;Y;Y
Regis University;Coed;;;10/15/2024;;;Rolling;0;0;Yes;;;;N;None;See Website;;;;;
Reinhardt University;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;Y
Rensselaer Polytechnic Institute;Coed;11/1/2024;1/3/2025;12/2/2024;;;2025-01-21;70;70;Yes;;;Yes;S;See Website;See Website;1;;Y;Y;
Rhode Island College;Coed;;;12/15/2024;;;Rolling;50;50;;;;;S;See Website;I or T or P;;;;;Y
Rhode Island School of Design;Coed;11/11/2024;;;;;2025-01-15;60;60;Yes;;SR;;N;See Website;See Website;;;;;
Rhodes College;Coed;11/1/2024;1/15/2025;11/15/2024;;;2025-01-15;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;;1;;Y;Y;
Rice University;Coed;11/1/2024;1/4/2025;;;;2025-01-04;75;75;Yes;;;Yes;N;None;See Website;2;;Y;Y;
Richmond The American International University in London;Coed;;;;;;Rolling;50;50;Yes;;;;F;See Website;I;1;;;Y;Y
Rider University;Coed;;;11/15/2024;;;Rolling;60;75;Yes;;;;S;SAT without Essay or ACT without Essay;;;;;Y;Y
Ringling College of Art and Design;Coed;;;11/1/2024;;;Rolling;70;70;Yes;;SR;;N;None;;;;;;
Ripon College;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Rivier University;Coed;;;11/15/2024;12/15/2024;;Rolling;0;0;Yes;;;;N;None;;;;;Y;Y
Roanoke College;Coed;10/15/2024;;11/15/2024;12/15/2024;;2025-03-15;0;0;;;;;S;See Website;See Website;;;;;Y
Robert Morris University (PA);Coed;;;;;;Rolling;0;0;;;;;N;See Website;See Website;;;;;Y
Roberts Wesleyan University;Coed;;;;;;Rolling;0;0;Yes;;;;N;See Website;See Website;;;;;Y
Rochester Institute of Technology;Coed;11/1/2024;1/1/2025;11/1/2024;;;2025-01-15;65;65;Yes;;;;N;See Website;See Website;;;Y;Y;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Rockhurst University;Coed;;;;;;2025-07-28;0;0;;;;;N;None;See Website;;;;;
